feature,importance
QProd,33
TPressThickSample1,24
TPressParameterCode_92.0,19
TPressParameterCode_14.0,19
TPressWeightSample18__time_reversal_asymmetry_statistic__lag_2,10
TPressProdReportFCSrel,9
TPressParameterCode_19.0,9
TPressParameterCode_26.0,8
TPressWeightSample11,8
TPressParameterCode_27.0,7
TPressProdReportFCPCVM,7
TPressProdReportHardSrel__time_reversal_asymmetry_statistic__lag_2,6
TPressParameterCode_27.0__time_reversal_asymmetry_statistic__lag_2,6
TPressProdReportHardSrel__variance_larger_than_standard_deviation,6
TPressParameterCode_15.0__time_reversal_asymmetry_statistic__lag_2,6
TPressParameterCode_6.0,5
TPressProdReportFCCPVM__time_reversal_asymmetry_statistic__lag_2,5
TPressParameterCode_24.0,5
TPressSetupCode_48,5
TPressParameterCode_30.0,5
TPressProdReportThickSrel,5
TPressParameterCode_101.0,5
TPressParameterCode_46.0,5
TPressParameterCode_18.0,4
QProd__time_reversal_asymmetry_statistic__lag_2,4
TPressParameterCode_15.0,4
TPressWeightSample18__variance_larger_than_standard_deviation,4
TPressProdReportFCCPVM,4
TPressParameterCode_45.0__time_reversal_asymmetry_statistic__lag_2,4
TPressParameterCode_24.0__time_reversal_asymmetry_statistic__lag_2,4
TPressParameterCode_45.0,3
TPressParameterCode_13.0__variance_larger_than_standard_deviation,3
TPressParameterCode_13.0__time_reversal_asymmetry_statistic__lag_2,3
TPressParameterCode_3.0,3
TPressParameterCode_29.0__time_reversal_asymmetry_statistic__lag_2,3
TPressParameterCode_29.0,3
TPressSetupCode_26,3
TPressSetupCode_32,2
TPressHardSample1,2
TPressParameterCode_8.0,2
TPressProdReportHardSrel,2
TPressParameterCode_24.0__value_count__value_1,1
TPressSetupCode_7,1
TPressParameterCode_23.0,1
TPressParameterCode_1.0,1
TPressSetupCode_13,1
TPressSetupCode_10,1
TPressParameterCode_29.0__value_count__value_0,1
TPressSetupCode_30,1
TPressSetupCode_121,1
TPressParameterCode_13.0__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_24.0__symmetry_looking__r_0.9500000000000001,0
TPressParameterCode_10.0,0
TPressParameterCode_13.0__symmetry_looking__r_0.9500000000000001,0
TPressParameterCode_13.0__value_count__value_1,0
TPressProdReportFCCPVM__variance_larger_than_standard_deviation,0
TPressProdReportFCCPVM__value_count__value_-1,0
TPressParameterCode_13.0__value_count__value_-1,0
TPressProdReportFCCPVM__value_count__value_1,0
TPressProdReportFCCPVM__value_count__value_0,0
TPressParameterCode_11.0,0
TPressParameterCode_13.0__value_count__value_0,0
TPressParameterCode_40.0,0
TPressParameterCode_12.0,0
TPressProdReportHardSrel__value_count__value_1,0
TPressSetupCode_165,0
TPressSetupCode_170,0
TPressSetupCode_174,0
TPressSetupCode_185,0
TPressParameterCode_17.0,0
TPressProdReportHardSrel__value_count__value_-1,0
TPressProdReportHardSrel__value_count__value_0,0
TPressParameterCode_24.0__time_reversal_asymmetry_statistic__lag_3,0
TPressProdReportHardSrel__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_16.0,0
TPressProdReportHardSrel__symmetry_looking__r_0.9500000000000001,0
TPressParameterCode_24.0__variance_larger_than_standard_deviation,0
TPressParameterCode_24.0__value_count__value_-1,0
TPressParameterCode_24.0__value_count__value_0,0
TPressProdReportFCCPVM__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_27.0__value_count__value_1,0
TPressProdReportFCCPVM__symmetry_looking__r_0.9500000000000001,0
TPressParameterCode_27.0__variance_larger_than_standard_deviation,0
QProd__time_reversal_asymmetry_statistic__lag_3,0
QProd__value_count__value_0,0
QProd__value_count__value_1,0
QProd__value_count__value_-1,0
QProd__variance_larger_than_standard_deviation,0
Object,0
TPressParameterCode_45.0__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_45.0__value_count__value_0,0
TPressParameterCode_45.0__value_count__value_1,0
TPressParameterCode_45.0__value_count__value_-1,0
TPressParameterCode_45.0__variance_larger_than_standard_deviation,0
TPressWeightSample18__symmetry_looking__r_0.9500000000000001,0
TPressWeightSample18__time_reversal_asymmetry_statistic__lag_3,0
TPressWeightSample18__value_count__value_1,0
TPressWeightSample18__value_count__value_-1,0
TPressProdReportDiamVM,0
TPressProdReportDiamSrel,0
TPressParameterCode_15.0__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_15.0__value_count__value_0,0
TPressParameterCode_15.0__value_count__value_1,0
TPressParameterCode_15.0__value_count__value_-1,0
TPressParameterCode_29.0__time_reversal_asymmetry_statistic__lag_3,0
TPressParameterCode_29.0__value_count__value_1,0
TPressParameterCode_29.0__value_count__value_-1,0
TPressParameterCode_29.0__variance_larger_than_standard_deviation,0
TPressParameterCode_4.0,0
TPressParameterCode_27.0__time_reversal_asymmetry_statistic__lag_3,0
TPressSetupCode_163,0
TPressParameterCode_27.0__value_count__value_-1,0
TPressSetupCode_164,0
TPressSetupCode_125,0
TPressSetupCode_139,0
TPressSetupCode_38,0
TPressParameterCode_32.0,0
TPressSetupCode_27,0
TPressSetupCode_29,0
TPressSetupCode_31,0
TPressSetupCode_33,0
TPressSetupCode_34,0
TPressSetupCode_40,0
TPressSetupCode_128,0
TPressSetupCode_41,0
TPressSetupCode_42,0
TPressSetupCode_43,0
TPressSetupCode_44,0
TPressSetupCode_45,0
TPressSetupCode_46,0
TPressSetupCode_24,0
TPressSetupCode_21,0
TPressSetupCode_20,0
TPressSetupCode_17,0
TPressSetupCode_16,0
TPressSetupCode_14,0
TPressSetupCode_12,0
TPressSetupCode_9,0
TPressSetupCode_8,0
TPressSetupCode_4,0
TPressParameterCode_174.0,0
TPressParameterCode_33.0,0
TPressParameterCode_100.0,0
TPressParameterCode_34.0,0
