iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_imputation__params,param_feature_selection__threshold,param_feature_selection__strategy,param_feature_extraction__params,param_feature_extraction__n_lags,param_classifier__base_estimator__n_estimators,param_classifier__base_estimator__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,57,0.06955790519714355,0.09281699720566164,0.004037046432495117,0.008074092864990234,"('interpolate', ('polynomial', 3))",0.95,correlation,"('pycatch22', {})",3,100,5,"{'imputation__params': ('interpolate', ('polynomial', 3)), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.0581669807434082,0.04623528454304298,0.004042291641235351,0.008084583282470702,"('interpolate', 'linear')",0.9,correlation,"('pycatch22', {})",3,25,7,"{'imputation__params': ('interpolate', 'linear'), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 25, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
0,57,0.024575567245483397,0.003911602835968958,0.0,0.0,"('interpolate', ('spline', 2))",0.9,correlation,"('pycatch22', {})",8,25,3,"{'imputation__params': ('interpolate', ('spline', 2)), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 8, 'classifier__base_estimator__n_estimators': 25, 'classifier__base_estimator__max_depth': 3}",,,,,,,,12,,,,,,,
0,57,0.07081189155578613,0.06850469464087273,0.004740858078002929,0.009481716156005859,"('interpolate', ('polynomial', 2))",0.9,correlation,"('pycatch22', {})",3,25,3,"{'imputation__params': ('interpolate', ('polynomial', 2)), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 25, 'classifier__base_estimator__max_depth': 3}",,,,,,,,12,,,,,,,
0,57,0.03219022750854492,0.008190103073703783,0.0,0.0,"('ffill', None)",0.9,correlation,"('pycatch22', {})",5,100,5,"{'imputation__params': ('ffill', None), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.03390316963195801,0.007150296701799899,0.0,0.0,"('interpolate', ('spline', 3))",0.9,correlation,"('pycatch22', {})",5,50,5,"{'imputation__params': ('interpolate', ('spline', 3)), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.029568862915039063,0.007880596697125864,0.0,0.0,"('ffill', None)",0.95,pca,"('pycatch22', {})",8,100,7,"{'imputation__params': ('ffill', None), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 8, 'classifier__base_estimator__n_estimators': 100, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
0,57,0.028441190719604492,0.004254361242175348,0.0,0.0,"('interpolate', 'linear')",0.9,pca,"('pycatch22', {})",5,25,5,"{'imputation__params': ('interpolate', 'linear'), 'feature_selection__threshold': 0.9, 'feature_selection__strategy': 'pca', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 5, 'classifier__base_estimator__n_estimators': 25, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.06255154609680176,0.04493325224472563,0.0040395259857177734,0.008079051971435547,"('interpolate', ('spline', 3))",0.95,correlation,"('pycatch22', {})",3,50,5,"{'imputation__params': ('interpolate', ('spline', 3)), 'feature_selection__threshold': 0.95, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 50, 'classifier__base_estimator__max_depth': 5}",,,,,,,,12,,,,,,,
0,57,0.057428407669067386,0.03738413569876672,0.004208946228027343,0.008417892456054687,"('interpolate', ('spline', 3))",0.85,correlation,"('pycatch22', {})",3,25,7,"{'imputation__params': ('interpolate', ('spline', 3)), 'feature_selection__threshold': 0.85, 'feature_selection__strategy': 'correlation', 'feature_extraction__params': ('pycatch22', {}), 'feature_extraction__n_lags': 3, 'classifier__base_estimator__n_estimators': 25, 'classifier__base_estimator__max_depth': 7}",,,,,,,,12,,,,,,,
