feature,importance
QProd_SB_BinaryStats_diff_longstretch0,0
TPressWeightSample18_CO_HistogramAMI_even_2_5,0
TPressWeightSample18_PD_PeriodicityWang_th0_01,0
TPressWeightSample18_IN_AutoMutualInfoStats_40_gaussian_fmmi,0
TPressWeightSample18_FC_LocalSimple_mean1_tauresrat,0
TPressWeightSample18_SP_Summaries_welch_rect_area_5_1,0
TPressWeightSample18_SB_BinaryStats_diff_longstretch0,0
TPressWeightSample18_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0
TPressWeightSample18_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0
TPressWeightSample18_SP_Summaries_welch_rect_centroid,0
TPressWeightSample18_FC_LocalSimple_mean3_stderr,0
TPressParameterCode_45.0_CO_HistogramAMI_even_2_5,0
TPressParameterCode_45.0_SB_BinaryStats_mean_longstretch1,0
TPressParameterCode_45.0_PD_PeriodicityWang_th0_01,0
TPressParameterCode_45.0_CO_Embed2_Dist_tau_d_expfit_meandiff,0
TPressParameterCode_45.0_IN_AutoMutualInfoStats_40_gaussian_fmmi,0
TPressParameterCode_45.0_FC_LocalSimple_mean1_tauresrat,0
TPressParameterCode_45.0_SP_Summaries_welch_rect_area_5_1,0
TPressParameterCode_45.0_SB_BinaryStats_diff_longstretch0,0
TPressParameterCode_45.0_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0
TPressParameterCode_45.0_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0
TPressParameterCode_45.0_SP_Summaries_welch_rect_centroid,0
TPressParameterCode_45.0_FC_LocalSimple_mean3_stderr,0
QProd_IN_AutoMutualInfoStats_40_gaussian_fmmi,0
QProd_CO_HistogramAMI_even_2_5,0
TPressWeightSample18_SB_BinaryStats_mean_longstretch1,0
TPressProdReportFCCPVM_CO_FirstMin_ac,0
QProd_SP_Summaries_welch_rect_area_5_1,0
TPressParameterCode_15.0_FC_LocalSimple_mean3_stderr,0
