mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__base_estimator__max_depth,param_classifier__base_estimator__n_estimators,param_feature_extraction__n_lags,param_feature_selection__strategy,param_feature_selection__threshold,param_feature_selection__variance_threshold,param_imputation__method,param_imputation__strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
18.93578643798828,7.246706118745313,0.9428720951080323,0.19485983178226685,3,50,1,correlation,0.85,0.9,linear,interpolate,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'correlation', 'feature_selection__threshold': 0.85, 'feature_selection__variance_threshold': 0.9, 'imputation__method': 'linear', 'imputation__strategy': 'interpolate'}",0.5811720464643221,0.5763696494103654,0.6774950862633763,0.6742415912839221,0.6731146710567972,0.6364786088957566,0.04716460147942217,265,0.961192468619247,0.9147643133257688,0.9055201651355498,0.8919899313961184,0.8691502615747386,0.9085234280102845,0.03048146591467073
17.721364498138428,6.267905437977167,1.0017579078674317,0.1383920386825564,3,50,1,correlation,0.85,0.9,linear,ffill,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'correlation', 'feature_selection__threshold': 0.85, 'feature_selection__variance_threshold': 0.9, 'imputation__method': 'linear', 'imputation__strategy': 'ffill'}",0.5811720464643221,0.5763696494103654,0.6774950862633763,0.6742415912839221,0.6731146710567972,0.6364786088957566,0.04716460147942217,265,0.961192468619247,0.9147643133257688,0.9055201651355498,0.8919899313961184,0.8691502615747386,0.9085234280102845,0.03048146591467073
18.844271659851074,7.2868587937180465,0.971189546585083,0.15835846276867502,3,50,1,correlation,0.85,0.95,linear,interpolate,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'correlation', 'feature_selection__threshold': 0.85, 'feature_selection__variance_threshold': 0.95, 'imputation__method': 'linear', 'imputation__strategy': 'interpolate'}",0.5811720464643221,0.5763696494103654,0.6774950862633763,0.6742415912839221,0.6731146710567972,0.6364786088957566,0.04716460147942217,265,0.961192468619247,0.9147643133257688,0.9055201651355498,0.8919899313961184,0.8691502615747386,0.9085234280102845,0.03048146591467073
20.470503759384155,4.421203074718687,0.9924254417419434,0.22580956052220827,3,50,1,correlation,0.85,0.95,linear,ffill,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'correlation', 'feature_selection__threshold': 0.85, 'feature_selection__variance_threshold': 0.95, 'imputation__method': 'linear', 'imputation__strategy': 'ffill'}",0.5811720464643221,0.5763696494103654,0.6774950862633763,0.6742415912839221,0.6731146710567972,0.6364786088957566,0.04716460147942217,265,0.961192468619247,0.9147643133257688,0.9055201651355498,0.8919899313961184,0.8691502615747386,0.9085234280102845,0.03048146591467073
22.554321479797363,2.8279280598091123,0.9284956455230713,0.1811354597779138,3,50,1,correlation,0.85,0.99,linear,interpolate,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'correlation', 'feature_selection__threshold': 0.85, 'feature_selection__variance_threshold': 0.99, 'imputation__method': 'linear', 'imputation__strategy': 'interpolate'}",0.5811720464643221,0.5763696494103654,0.6774950862633763,0.6742415912839221,0.6731146710567972,0.6364786088957566,0.04716460147942217,265,0.961192468619247,0.9147643133257688,0.9055201651355498,0.8919899313961184,0.8691502615747386,0.9085234280102845,0.03048146591467073
20.842224836349487,3.412525941611194,0.9540815830230713,0.09696316226567817,3,50,1,correlation,0.85,0.99,linear,ffill,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'correlation', 'feature_selection__threshold': 0.85, 'feature_selection__variance_threshold': 0.99, 'imputation__method': 'linear', 'imputation__strategy': 'ffill'}",0.5811720464643221,0.5763696494103654,0.6774950862633763,0.6742415912839221,0.6731146710567972,0.6364786088957566,0.04716460147942217,265,0.961192468619247,0.9147643133257688,0.9055201651355498,0.8919899313961184,0.8691502615747386,0.9085234280102845,0.03048146591467073
22.16477484703064,4.512532854307616,0.936833667755127,0.13033584324534522,3,50,1,correlation,0.9,0.9,linear,interpolate,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'correlation', 'feature_selection__threshold': 0.9, 'feature_selection__variance_threshold': 0.9, 'imputation__method': 'linear', 'imputation__strategy': 'interpolate'}",0.5845310743536212,0.5681669833625854,0.6682204083861104,0.6458043880253884,0.6614503713218334,0.6256346450899077,0.041219334499243636,674,0.9624353925670687,0.9208095338833651,0.9033708264477495,0.890524455315335,0.8622255318786541,0.9078731480184346,0.03331468597093031
21.856714153289794,3.09846755446176,0.985850191116333,0.10250956915561427,3,50,1,correlation,0.9,0.9,linear,ffill,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'correlation', 'feature_selection__threshold': 0.9, 'feature_selection__variance_threshold': 0.9, 'imputation__method': 'linear', 'imputation__strategy': 'ffill'}",0.5845310743536212,0.5681669833625854,0.6682204083861104,0.6458043880253884,0.6614503713218334,0.6256346450899077,0.041219334499243636,674,0.9624353925670687,0.9208095338833651,0.9033708264477495,0.890524455315335,0.8622255318786541,0.9078731480184346,0.03331468597093031
22.977106475830077,4.34013560557049,0.833830738067627,0.16027255809058755,3,50,1,correlation,0.9,0.95,linear,interpolate,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'correlation', 'feature_selection__threshold': 0.9, 'feature_selection__variance_threshold': 0.95, 'imputation__method': 'linear', 'imputation__strategy': 'interpolate'}",0.5845310743536212,0.5681669833625854,0.6682204083861104,0.6458043880253884,0.6614503713218334,0.6256346450899077,0.041219334499243636,674,0.9624353925670687,0.9208095338833651,0.9033708264477495,0.890524455315335,0.8622255318786541,0.9078731480184346,0.03331468597093031
22.82305498123169,2.2241870438705456,0.8706353664398193,0.1095127920961474,3,50,1,correlation,0.9,0.95,linear,ffill,"{'classifier__base_estimator__max_depth': 3, 'classifier__base_estimator__n_estimators': 50, 'feature_extraction__n_lags': 1, 'feature_selection__strategy': 'correlation', 'feature_selection__threshold': 0.9, 'feature_selection__variance_threshold': 0.95, 'imputation__method': 'linear', 'imputation__strategy': 'ffill'}",0.5845310743536212,0.5681669833625854,0.6682204083861104,0.6458043880253884,0.6614503713218334,0.6256346450899077,0.041219334499243636,674,0.9624353925670687,0.9208095338833651,0.9033708264477495,0.890524455315335,0.8622255318786541,0.9078731480184346,0.03331468597093031
